ins_cd,insurer_name,coverage_name_raw,occurrence_count,cause_codes,effect_codes,recommended_action,notes
N01,SAMSUNG,2대주요기관질병 관혈수술비Ⅱ(1년50%),1,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N05
N01,SAMSUNG,2대주요기관질병 비관혈수술비Ⅱ(1년50%),1,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N05
N01,SAMSUNG,[갱신형] 암(특정암 제외) 다빈치로봇 수술비(1년 감액),1,C1_NO_EXCEL_ENTRY|C5_NEW_OR_SPECIAL_COVERAGE,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N05; 특수 담보: [갱신형] 암(특정암 제외) 다빈치로봇 수술비(1년 감액)
N01,SAMSUNG,[갱신형] 특정암 다빈치로봇 수술비(1년 감액),1,C1_NO_EXCEL_ENTRY|C5_NEW_OR_SPECIAL_COVERAGE,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N05; 특수 담보: [갱신형] 특정암 다빈치로봇 수술비(1년 감액)
N01,SAMSUNG,[갱신형] 표적항암약물허가 치료비(1년50%),1,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N05
N01,SAMSUNG,갑상선암 수술비,1,C1_NO_EXCEL_ENTRY|C3_SUBCATEGORY_SPLIT,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE|E5_STRUCTURAL_DIFFERENCE,ADD_EXCEL_ROW_WITH_NOTE,가입설계서 1회 출현; Excel no entry in N05; 하위 담보: 갑상선암 수술비
N01,SAMSUNG,경계성종양 수술비,1,C1_NO_EXCEL_ENTRY|C3_SUBCATEGORY_SPLIT,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE|E5_STRUCTURAL_DIFFERENCE,ADD_EXCEL_ROW_WITH_NOTE,가입설계서 1회 출현; Excel no entry in N05; 하위 담보: 경계성종양 수술비
N01,SAMSUNG,골절 진단비(치아파절(깨짐 부러짐) 제외),1,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N05
N01,SAMSUNG,기타 심장부정맥 진단비(1년50%),1,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N05
N01,SAMSUNG,기타피부암 수술비,1,C1_NO_EXCEL_ENTRY|C3_SUBCATEGORY_SPLIT,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE|E5_STRUCTURAL_DIFFERENCE,ADD_EXCEL_ROW_WITH_NOTE,가입설계서 1회 출현; Excel no entry in N05; 하위 담보: 기타피부암 수술비
N01,SAMSUNG,뇌졸중 진단비(1년50%),1,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N05
N01,SAMSUNG,뇌혈관질환 진단비(1년50%),1,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N05
N01,SAMSUNG,대장점막내암 수술비,1,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N05
N01,SAMSUNG,보험료 납입면제대상Ⅱ,1,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N05
N01,SAMSUNG,상해 사망,1,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N05
N01,SAMSUNG,상해 입원 수술비(당일입원 제외),1,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N05
N01,SAMSUNG,상해 입원일당(1일이상),1,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N05
N01,SAMSUNG,상해 통원 수술비(외래 및 당일입원),1,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N05
N01,SAMSUNG,상해 후유장해(3~100%),1,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N05
N01,SAMSUNG,신재진단암(기타피부암 및 갑상선암 포함) 진단비(1년주기5회한),1,C1_NO_EXCEL_ENTRY|C3_SUBCATEGORY_SPLIT,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE|E5_STRUCTURAL_DIFFERENCE,ADD_EXCEL_ROW_WITH_NOTE,가입설계서 1회 출현; Excel no entry in N05; 하위 담보: 신재진단암(기타피부암 및 갑상선암 포함) 진단비(1년주기5회한)
N01,SAMSUNG,암 직접치료 입원일당Ⅱ(1일이상)(요양병원 제외),1,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N05
