ins_cd,insurer_name,coverage_name_raw,occurrence_count,cause_codes,effect_codes,recommended_action,notes
N05,KB,다빈치로봇 갑상선암 및 전립선암수술비(최초1회한)(갱신형),1,C1_NO_EXCEL_ENTRY|C3_SUBCATEGORY_SPLIT,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE|E5_STRUCTURAL_DIFFERENCE,ADD_EXCEL_ROW_WITH_NOTE,가입설계서 1회 출현; Excel no entry in N05; 하위 담보: 다빈치로봇 갑상선암 및 전립선암수술비(최초1회한)(갱신형)
N05,KB,다빈치로봇 암수술비(갑상선암 및 전립선암 제외)(최초1회한)(갱신형),1,C1_NO_EXCEL_ENTRY|C3_SUBCATEGORY_SPLIT,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE|E5_STRUCTURAL_DIFFERENCE,ADD_EXCEL_ROW_WITH_NOTE,가입설계서 1회 출현; Excel no entry in N05; 하위 담보: 다빈치로봇 암수술비(갑상선암 및 전립선암 제외)(최초1회한)(갱신형)
N05,KB,보험료납입면제대상보장(8대기본),1,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N05
N05,KB,부정맥질환(Ⅰ49)진단비,1,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N05
N05,KB,암직접치료입원일당(요양제외1일이상180일한도),1,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N05
N05,KB,일반상해후유장해(20~100%)(기본),1,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N05
N05,KB,일반상해후유장해(3%~100%),1,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N05
N05,KB,카티(CAR-T)항암약물허가치료비(연간1회한)(갱신형),1,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N05
N05,KB,특정항암호르몬약물허가치료비(최초1회한)Ⅱ(갱신형),1,C1_NO_EXCEL_ENTRY|C5_NEW_OR_SPECIAL_COVERAGE,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N05; 특수 담보: 특정항암호르몬약물허가치료비(최초1회한)Ⅱ(갱신형)
N05,KB,표적항암약물허가치료비(3대특정암 및 림프종·백혈병 관련암 제외)(최초1회한)Ⅱ(갱신형),1,C1_NO_EXCEL_ENTRY|C5_NEW_OR_SPECIAL_COVERAGE,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N05; 특수 담보: 표적항암약물허가치료비(3대특정암 및 림프종·백혈병 관련암 제외)(최초1회한)Ⅱ(갱신형)
N05,KB,표적항암약물허가치료비(3대특정암)(최초1회한)Ⅱ(갱신형),1,C1_NO_EXCEL_ENTRY|C5_NEW_OR_SPECIAL_COVERAGE,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N05; 특수 담보: 표적항암약물허가치료비(3대특정암)(최초1회한)Ⅱ(갱신형)
N05,KB,표적항암약물허가치료비(림프종·백혈병 관련암)(최초1회한)Ⅱ(갱신형),1,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N05
