ins_cd,insurer_name,coverage_name_raw,occurrence_count,cause_codes,effect_codes,recommended_action,notes
N06,HYUNDAI,고액치료비암진단담보,1,C1_NO_EXCEL_ENTRY|C5_NEW_OR_SPECIAL_COVERAGE,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N13; 특수 담보: 고액치료비암진단담보
N06,HYUNDAI,골절진단(치아파절제외)담보,1,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N13
N06,HYUNDAI,기본계약(상해사망),1,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N13
N06,HYUNDAI,기본계약(상해후유장해),1,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N13
N06,HYUNDAI,뇌졸중진단담보,1,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N13
N06,HYUNDAI,뇌출혈진단담보,1,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N13
N06,HYUNDAI,뇌혈관질환진단담보,1,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N13
N06,HYUNDAI,보험료납입면제대상담보,1,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N13
N06,HYUNDAI,상해수술담보,1,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N13
N06,HYUNDAI,상해입원일당(1-180일)담보,1,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N13
N06,HYUNDAI,심혈관질환(I49)진단담보,1,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N13
N06,HYUNDAI,심혈관질환(대동맥판막협착증)진단담보,1,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N13
N06,HYUNDAI,심혈관질환(심근병증)진단담보,1,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N13
N06,HYUNDAI,심혈관질환(주요심장염증)진단담보,1,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N13
N06,HYUNDAI,심혈관질환(특정2대)진단담보,1,C1_NO_EXCEL_ENTRY|C5_NEW_OR_SPECIAL_COVERAGE,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N13; 특수 담보: 심혈관질환(특정2대)진단담보
N06,HYUNDAI,"심혈관질환(특정Ⅰ,I49제외)진단담보",1,C1_NO_EXCEL_ENTRY|C5_NEW_OR_SPECIAL_COVERAGE,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,"가입설계서 1회 출현; Excel no entry in N13; 특수 담보: 심혈관질환(특정Ⅰ,I49제외)진단담보"
N06,HYUNDAI,심혈관질환(특정Ⅱ)진단담보,1,C1_NO_EXCEL_ENTRY|C5_NEW_OR_SPECIAL_COVERAGE,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N13; 특수 담보: 심혈관질환(특정Ⅱ)진단담보
N06,HYUNDAI,암진단Ⅱ(유사암제외)담보,1,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N13
N06,HYUNDAI,유사암진단Ⅱ담보,1,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N13
N06,HYUNDAI,재진단암진단Ⅱ담보,1,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N13
N06,HYUNDAI,질병사망담보,1,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N13
N06,HYUNDAI,카티(CAR-T)항암약물허가치료(연간1회한)(갱신형)담보,1,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N13
N06,HYUNDAI,표적항암약물허가치료(갱신형)담보,1,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N13
N06,HYUNDAI,항암방사선치료Ⅱ담보,1,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N13
N06,HYUNDAI,항암약물치료Ⅱ담보,1,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N13
N06,HYUNDAI,허혈심장질환진단담보,1,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N13
N06,HYUNDAI,화상진단담보,1,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 1회 출현; Excel no entry in N13
