ins_cd,insurer_name,coverage_name_raw,occurrence_count,cause_codes,effect_codes,recommended_action,notes
N08,DB,"계속받는암진단비(유사암,대장점막내암및전립선암제외)",4,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 4회 출현; Excel no entry in N08
N08,DB,고액치료비암진단비,4,C1_NO_EXCEL_ENTRY|C5_NEW_OR_SPECIAL_COVERAGE,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 4회 출현; Excel no entry in N08; 특수 담보: 고액치료비암진단비
N08,DB,골절진단비(치아제외),4,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 4회 출현; Excel no entry in N08
N08,DB,뇌졸중진단비,4,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 4회 출현; Excel no entry in N08
N08,DB,뇌혈관질환수술비,4,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 4회 출현; Excel no entry in N08
N08,DB,"다빈치로봇암수술비(연간1회한,특정암)",4,C1_NO_EXCEL_ENTRY|C5_NEW_OR_SPECIAL_COVERAGE,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,"가입설계서 4회 출현; Excel no entry in N08; 특수 담보: 다빈치로봇암수술비(연간1회한,특정암)"
N08,DB,"다빈치로봇암수술비(연간1회한,특정암제외)",4,C1_NO_EXCEL_ENTRY|C5_NEW_OR_SPECIAL_COVERAGE,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,"가입설계서 4회 출현; Excel no entry in N08; 특수 담보: 다빈치로봇암수술비(연간1회한,특정암제외)"
N08,DB,상해사망,4,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 4회 출현; Excel no entry in N08
N08,DB,상해사망·후유장해(20-100%),4,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 4회 출현; Excel no entry in N08
N08,DB,상해수술비(동일사고당1회지급),4,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 4회 출현; Excel no entry in N08
N08,DB,상해입원일당(1일이상180일한도),4,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 4회 출현; Excel no entry in N08
N08,DB,상해후유장해(3-100%),4,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 4회 출현; Excel no entry in N08
N08,DB,심근병증진단비,4,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 4회 출현; Excel no entry in N08
N08,DB,심장판막협착증진단비(대동맥판막),4,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 4회 출현; Excel no entry in N08
N08,DB,암수술비(유사암제외)(최초1회한),4,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 4회 출현; Excel no entry in N08
N08,DB,암직접치료입원일당Ⅱ(요양병원제외)(1일이상180일한도),4,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 4회 출현; Excel no entry in N08
N08,DB,암진단비Ⅱ(유사암제외),4,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 4회 출현; Excel no entry in N08
N08,DB,유사암수술비,4,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 4회 출현; Excel no entry in N08
N08,DB,유사암진단비Ⅱ(1년감액지급),4,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 4회 출현; Excel no entry in N08
N08,DB,주요심장염증질환진단비,4,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 4회 출현; Excel no entry in N08
N08,DB,질병수술비(매회지급),4,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 4회 출현; Excel no entry in N08
N08,DB,질병입원일당(1일이상180일한도),4,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 4회 출현; Excel no entry in N08
N08,DB,표적항암약물허가치료비(최초1회한)(갱신형),4,C1_NO_EXCEL_ENTRY,E1_COMPARISON_POSSIBLE|E3_EXPLANATION_REQUIRED|E4_MAPPING_EXPANSION_CANDIDATE,ADD_EXCEL_ROW,가입설계서 4회 출현; Excel no entry in N08
