insurer,proposal_file,proposal_variant,row_id,coverage_name_raw,amount_raw,premium_raw,pay_term_raw,maturity_raw,renewal_raw,notes
DB,DB_가입설계서(40세이하)_2511.pdf,40세이하,1,상해사망·후유장해(20-100%),1백만원,132,20년/100세,,,
DB,DB_가입설계서(40세이하)_2511.pdf,40세이하,2,보험료납입면제대상보장(11대사유),10만원,142,20년/20년,,,
DB,DB_가입설계서(40세이하)_2511.pdf,40세이하,3,상해사망,1천만원,870,20년/100세,,,
DB,DB_가입설계서(40세이하)_2511.pdf,40세이하,4,상해후유장해(3-100%),1천만원,740,20년/100세,,,
DB,DB_가입설계서(40세이하)_2511.pdf,40세이하,5,질병사망,1천만원,"10,890",20년/80세,,,
DB,DB_가입설계서(40세이하)_2511.pdf,40세이하,6,상해수술비(동일사고당1회지급),10만원,509,20년/100세,,,
DB,DB_가입설계서(40세이하)_2511.pdf,40세이하,7,골절진단비(치아제외),10만원,723,20년/100세,,,
DB,DB_가입설계서(40세이하)_2511.pdf,40세이하,8,"계속받는암진단비(유사암,대장점막내암및전립선암제외)",1천만원,"26,060",20년/100세,,,
DB,DB_가입설계서(40세이하)_2511.pdf,40세이하,9,암진단비Ⅱ(유사암제외),3천만원,"53,040",20년/100세,,,
DB,DB_가입설계서(40세이하)_2511.pdf,40세이하,10,유사암진단비Ⅱ(1년감액지급),6백만원,"1,440",20년/100세,,,
DB,DB_가입설계서(40세이하)_2511.pdf,40세이하,11,고액치료비암진단비,1천만원,"3,020",20년/100세,,,
DB,DB_가입설계서(40세이하)_2511.pdf,40세이하,12,암수술비(유사암제외)(최초1회한),5백만원,"7,225",20년/100세,,,
DB,DB_가입설계서(40세이하)_2511.pdf,40세이하,13,유사암수술비,30만원,78,20년/100세,,,
DB,DB_가입설계서(40세이하)_2511.pdf,40세이하,14,"다빈치로봇암수술비(연간1회한,특정암)",5백만원,560,20년/100세,,,
DB,DB_가입설계서(40세이하)_2511.pdf,40세이하,15,"다빈치로봇암수술비(연간1회한,특정암제외)",1천만원,"1,120",20년/100세,,,
DB,DB_가입설계서(40세이하)_2511.pdf,40세이하,16,표적항암약물허가치료비(최초1회한)(갱신형),1천만원,390,10년/10년(100세종료),,(갱신형),
DB,DB_가입설계서(40세이하)_2511.pdf,40세이하,17,항암방사선약물치료비(유사암포함),3백만원,"2,235",20년/100세,,,
DB,DB_가입설계서(40세이하)_2511.pdf,40세이하,18,암직접치료입원일당Ⅱ(요양병원제외)(1일이상180일한도),2만원,"2,576",20년/100세,,,
DB,DB_가입설계서(40세이하)_2511.pdf,40세이하,19,뇌졸중진단비,1천만원,"10,140",20년/100세,,,
DB,DB_가입설계서(40세이하)_2511.pdf,40세이하,20,뇌출혈진단비,1천만원,"2,340",20년/100세,,,
DB,DB_가입설계서(40세이하)_2511.pdf,40세이하,21,뇌혈관질환진단비,1천만원,"14,410",20년/100세,,,
DB,DB_가입설계서(40세이하)_2511.pdf,40세이하,22,뇌혈관질환수술비,5백만원,"1,700",20년/100세,,,
DB,DB_가입설계서(40세이하)_2511.pdf,40세이하,23,허혈심장질환진단비,1천만원,"6,080",20년/100세,,,
DB,DB_가입설계서(40세이하)_2511.pdf,40세이하,24,심근병증진단비,1백만원,312,20년/100세,,,
DB,DB_가입설계서(40세이하)_2511.pdf,40세이하,25,주요심장염증질환진단비,1백만원,124,20년/100세,,,
DB,DB_가입설계서(40세이하)_2511.pdf,40세이하,26,심장판막협착증진단비(대동맥판막),1백만원,125,20년/100세,,,
DB,DB_가입설계서(40세이하)_2511.pdf,40세이하,27,허혈심장질환수술비,5백만원,"2,150",20년/100세,,,
DB,DB_가입설계서(40세이하)_2511.pdf,40세이하,28,혈전용해치료비Ⅲ(최초1회한),2백만원,254,20년/100세,,,
DB,DB_가입설계서(40세이하)_2511.pdf,40세이하,29,질병수술비(매회지급),10만원,"5,059",20년/100세,,,
DB,DB_가입설계서(40세이하)_2511.pdf,40세이하,30,상해입원일당(1일이상180일한도),1만원,"1,308",20년/100세,,,
DB,DB_가입설계서(40세이하)_2511.pdf,40세이하,31,질병입원일당(1일이상180일한도),1만원,"7,091",20년/100세,,,
DB,DB_가입설계서(41세이상)_2511.pdf,41세이상,1,상해사망·후유장해(20-100%),1백만원,129,20년/100세,,,
DB,DB_가입설계서(41세이상)_2511.pdf,41세이상,2,보험료납입면제대상보장(10대사유),10만원,110,20년/20년,,,
DB,DB_가입설계서(41세이상)_2511.pdf,41세이상,3,상해사망,1천만원,850,20년/100세,,,
DB,DB_가입설계서(41세이상)_2511.pdf,41세이상,4,상해후유장해(3-100%),1천만원,730,20년/100세,,,
DB,DB_가입설계서(41세이상)_2511.pdf,41세이상,5,질병사망,1천만원,"11,140",20년/80세,,,
DB,DB_가입설계서(41세이상)_2511.pdf,41세이상,6,상해수술비(동일사고당1회지급),10만원,489,20년/100세,,,
DB,DB_가입설계서(41세이상)_2511.pdf,41세이상,7,골절진단비(치아제외),10만원,701,20년/100세,,,
DB,DB_가입설계서(41세이상)_2511.pdf,41세이상,8,"계속받는암진단비(유사암,대장점막내암및전립선암제외)",1천만원,"26,550",20년/100세,,,
DB,DB_가입설계서(41세이상)_2511.pdf,41세이상,9,암진단비Ⅱ(유사암제외),3천만원,"53,760",20년/100세,,,
DB,DB_가입설계서(41세이상)_2511.pdf,41세이상,10,유사암진단비Ⅱ(1년감액지급),6백만원,"1,440",20년/100세,,,
DB,DB_가입설계서(41세이상)_2511.pdf,41세이상,11,고액치료비암진단비,1천만원,"3,050",20년/100세,,,
DB,DB_가입설계서(41세이상)_2511.pdf,41세이상,12,암수술비(유사암제외)(최초1회한),5백만원,"7,320",20년/100세,,,
DB,DB_가입설계서(41세이상)_2511.pdf,41세이상,13,유사암수술비,30만원,78,20년/100세,,,
DB,DB_가입설계서(41세이상)_2511.pdf,41세이상,14,"다빈치로봇암수술비(연간1회한,특정암)",5백만원,560,20년/100세,,,
DB,DB_가입설계서(41세이상)_2511.pdf,41세이상,15,"다빈치로봇암수술비(연간1회한,특정암제외)",1천만원,"1,120",20년/100세,,,
DB,DB_가입설계서(41세이상)_2511.pdf,41세이상,16,표적항암약물허가치료비(최초1회한)(갱신형),1천만원,430,10년/10년(100세종료),,(갱신형),
DB,DB_가입설계서(41세이상)_2511.pdf,41세이상,17,항암방사선약물치료비(유사암포함),3백만원,"2,268",20년/100세,,,
DB,DB_가입설계서(41세이상)_2511.pdf,41세이상,18,암직접치료입원일당Ⅱ(요양병원제외)(1일이상180일한도),2만원,"2,620",20년/100세,,,
DB,DB_가입설계서(41세이상)_2511.pdf,41세이상,19,뇌졸중진단비,1천만원,"10,290",20년/100세,,,
DB,DB_가입설계서(41세이상)_2511.pdf,41세이상,20,뇌출혈진단비,1천만원,"2,350",20년/100세,,,
DB,DB_가입설계서(41세이상)_2511.pdf,41세이상,21,뇌혈관질환진단비,1천만원,"14,700",20년/100세,,,
DB,DB_가입설계서(41세이상)_2511.pdf,41세이상,22,뇌혈관질환수술비,5백만원,"1,700",20년/100세,,,
DB,DB_가입설계서(41세이상)_2511.pdf,41세이상,23,허혈심장질환진단비,1천만원,"6,100",20년/100세,,,
DB,DB_가입설계서(41세이상)_2511.pdf,41세이상,24,심근병증진단비,1백만원,314,20년/100세,,,
DB,DB_가입설계서(41세이상)_2511.pdf,41세이상,25,주요심장염증질환진단비,1백만원,126,20년/100세,,,
DB,DB_가입설계서(41세이상)_2511.pdf,41세이상,26,심장판막협착증진단비(대동맥판막),1백만원,127,20년/100세,,,
DB,DB_가입설계서(41세이상)_2511.pdf,41세이상,27,허혈심장질환수술비,5백만원,"2,200",20년/100세,,,
DB,DB_가입설계서(41세이상)_2511.pdf,41세이상,28,혈전용해치료비Ⅲ(최초1회한),2백만원,252,20년/100세,,,
DB,DB_가입설계서(41세이상)_2511.pdf,41세이상,29,질병수술비(매회지급),10만원,"5,050",20년/100세,,,
DB,DB_가입설계서(41세이상)_2511.pdf,41세이상,30,상해입원일당(1일이상180일한도),1만원,"1,271",20년/100세,,,
DB,DB_가입설계서(41세이상)_2511.pdf,41세이상,31,질병입원일당(1일이상180일한도),1만원,"7,130",20년/100세,,,
HANWHA,한화_가입설계서_2511.pdf,,1,보통약관(상해사망),"1,000만원",590원,100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,2,보험료납입면제대상보장(8대사유),10만원,218원,100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,3,상해후유장해(3-100%),"1,000만원",500원,100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,4,질병사망,"1,000만원","8,050원",80세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,5,골절(치아파절제외)진단비,10만원,655원,100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,6,화상진단비,10만원,74원,100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,7,암(4대유사암제외)진단비,"3,000만원","34,230원",100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,8,4대유사암진단비,"2,400만원",-,100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,9,- 4대유사암진단비(기타피부암),600만원,228원,,,,
HANWHA,한화_가입설계서_2511.pdf,,10,- 4대유사암진단비(제자리암),600만원,300원,,,,
HANWHA,한화_가입설계서_2511.pdf,,11,- 4대유사암진단비(경계성종양),600만원,258원,,,,
HANWHA,한화_가입설계서_2511.pdf,,12,- 4대유사암진단비(갑상선암),600만원,498원,,,,
HANWHA,한화_가입설계서_2511.pdf,,13,특정유사암항암방사선치료비(세부보장별각1회한),100만원,22원,100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,14,암(4대유사암제외)항암방사선치료비(1회한),300만원,"1,044원",100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,15,암(4대유사암제외)항암약물치료비(1회한),300만원,"1,557원",100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,16,특정유사암항암약물치료비(세부보장별각1회한),100만원,5원,100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,17,암(특정유사암포함)표적항암약물허가치료비(1회한)(갱신형),"1,000만원",250원,100세만기 / 전기납 / 10년갱신,,(갱신형),
HANWHA,한화_가입설계서_2511.pdf,,18,카티(CAR-T)항암약물허가치료비(1회한)(갱신형),"1,000만원",7원,100세만기 / 전기납 / 10년갱신,,(갱신형),
HANWHA,한화_가입설계서_2511.pdf,,19,뇌혈관질환진단비,"1,000만원","9,310원",100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,20,뇌졸중진단비,"1,000만원","7,450원",100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,21,심혈관특정질환Ⅰ진단비,100만원,"1,066원",100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,22,심혈관특정질환Ⅱ진단비,100만원,468원,100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,23,심혈관특정질환Ⅰ(기타심장부정맥제외)진단비,100만원,"1,012원",100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,24,허혈성심장질환진단비,"1,000만원","6,850원",100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,25,심근병증진단비,100만원,197원,100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,26,심장판막협착증(대동맥판막)진단비,100만원,72원,100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,27,주요심장염증질환진단비,100만원,59원,100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,28,상해수술비,10만원,493원,100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,29,질병수술비,10만원,"2,233원",100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,30,암(4대유사암제외)수술비Ⅱ(수술1회당),500만원,"7,250원",100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,31,4대유사암수술비Ⅱ(수술1회당),30만원,57원,100세만기 / 20년납,,,
