insurer,proposal_file,proposal_variant,row_id,coverage_name_raw,amount_raw,premium_raw,pay_term_raw,maturity_raw,renewal_raw,notes
HANWHA,한화_가입설계서_2511.pdf,,1,보통약관(상해사망),"1,000만원",590원,100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,2,보험료납입면제대상보장(8대사유),10만원,218원,100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,3,상해후유장해(3-100%),"1,000만원",500원,100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,4,질병사망,"1,000만원","8,050원",80세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,5,골절(치아파절제외)진단비,10만원,655원,100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,6,화상진단비,10만원,74원,100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,7,암(4대유사암제외)진단비,"3,000만원","34,230원",100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,8,4대유사암진단비,"2,400만원",-,100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,9,- 4대유사암진단비(기타피부암),600만원,228원,,,,
HANWHA,한화_가입설계서_2511.pdf,,10,- 4대유사암진단비(제자리암),600만원,300원,,,,
HANWHA,한화_가입설계서_2511.pdf,,11,- 4대유사암진단비(경계성종양),600만원,258원,,,,
HANWHA,한화_가입설계서_2511.pdf,,12,- 4대유사암진단비(갑상선암),600만원,498원,,,,
HANWHA,한화_가입설계서_2511.pdf,,13,특정유사암항암방사선치료비(세부보장별각1회한),100만원,22원,100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,14,암(4대유사암제외)항암방사선치료비(1회한),300만원,"1,044원",100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,15,암(4대유사암제외)항암약물치료비(1회한),300만원,"1,557원",100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,16,특정유사암항암약물치료비(세부보장별각1회한),100만원,5원,100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,17,암(특정유사암포함)표적항암약물허가치료비(1회한)(갱신형),"1,000만원",250원,100세만기 / 전기납 / 10년갱신,,(갱신형),
HANWHA,한화_가입설계서_2511.pdf,,18,카티(CAR-T)항암약물허가치료비(1회한)(갱신형),"1,000만원",7원,100세만기 / 전기납 / 10년갱신,,(갱신형),
HANWHA,한화_가입설계서_2511.pdf,,19,뇌혈관질환진단비,"1,000만원","9,310원",100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,20,뇌졸중진단비,"1,000만원","7,450원",100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,21,심혈관특정질환Ⅰ진단비,100만원,"1,066원",100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,22,심혈관특정질환Ⅱ진단비,100만원,468원,100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,23,심혈관특정질환Ⅰ(기타심장부정맥제외)진단비,100만원,"1,012원",100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,24,허혈성심장질환진단비,"1,000만원","6,850원",100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,25,심근병증진단비,100만원,197원,100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,26,심장판막협착증(대동맥판막)진단비,100만원,72원,100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,27,주요심장염증질환진단비,100만원,59원,100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,28,상해수술비,10만원,493원,100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,29,질병수술비,10만원,"2,233원",100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,30,암(4대유사암제외)수술비Ⅱ(수술1회당),500만원,"7,250원",100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,31,4대유사암수술비Ⅱ(수술1회당),30만원,57원,100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,32,암(갑상선암및전립선암제외)다빈치로봇수술비(1회한)(갱신형),"1,000만원",232원,100세만기 / 전기납 / 10년갱신,,(갱신형),
HANWHA,한화_가입설계서_2511.pdf,,33,갑상선암및전립선암다빈치로봇수술비(1회한)(갱신형),500만원,29원,100세만기 / 전기납 / 10년갱신,,(갱신형),
HANWHA,한화_가입설계서_2511.pdf,,34,뇌혈관질환수술비(수술1회당),500만원,"1,900원",100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,35,허혈성심장질환수술비(수술1회당),500만원,"2,400원",100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,36,상해입원비(1일이상180일한도),1만원,"1,809원",100세만기 / 20년납,,,
HANWHA,한화_가입설계서_2511.pdf,,37,질병입원비(1일이상180일한도),1만원,"7,845원",100세만기 / 20년납,,,
