insurer,proposal_file,proposal_variant,row_id,coverage_name_raw,amount_raw,premium_raw,pay_term_raw,maturity_raw,renewal_raw,notes
HEUNGKUK,흥국_가입설계서_2511.pdf,,1,일반상해후유장해(80%이상),"1,000만원",130,20년납 100세만기,,,
HEUNGKUK,흥국_가입설계서_2511.pdf,,2,질병후유장해(80%이상)(감액없음),100만원,147,20년납 100세만기,,,
HEUNGKUK,흥국_가입설계서_2511.pdf,,3,보험료 납입면제대상보장(6대질병진단 및 상해·질병후유장해(80%이상)),10만원,33,20년납 20년만기,,,
HEUNGKUK,흥국_가입설계서_2511.pdf,,4,일반상해사망,"1,000만원",630,20년납 100세만기,,,
HEUNGKUK,흥국_가입설계서_2511.pdf,,5,질병사망(감액없음),"1,000만원","6,880",20년납 80세만기,,,
HEUNGKUK,흥국_가입설계서_2511.pdf,,6,일반상해후유장해(3~100%),"1,000만원",800,20년납 100세만기,,,
HEUNGKUK,흥국_가입설계서_2511.pdf,,7,골절진단비(치아파절제외),10만원,628,20년납 100세만기,,,
HEUNGKUK,흥국_가입설계서_2511.pdf,,8,화상진단비,10만원,49,20년납 100세만기,,,
HEUNGKUK,흥국_가입설계서_2511.pdf,,9,뇌졸중진단비,"1,000만원","8,890",20년납 100세만기,,,
HEUNGKUK,흥국_가입설계서_2511.pdf,,10,허혈성심질환진단비,"1,000만원","6,110",20년납 100세만기,,,
HEUNGKUK,흥국_가입설계서_2511.pdf,,11,주요심장염증질환진단비,100만원,76,20년납 100세만기,,,
HEUNGKUK,흥국_가입설계서_2511.pdf,,12,뇌혈관질환진단비,"1,000만원","9,370",20년납 100세만기,,,
HEUNGKUK,흥국_가입설계서_2511.pdf,,13,심장판막협착증(대동맥판막)진단비,100만원,105,20년납 100세만기,,,
HEUNGKUK,흥국_가입설계서_2511.pdf,,14,뇌출혈진단비,"1,000만원","2,000",20년납 100세만기,,,
HEUNGKUK,흥국_가입설계서_2511.pdf,,15,특정심혈관질환(기타심장부정맥)진단비Ⅲ,100만원,270,20년납 100세만기,,,
HEUNGKUK,흥국_가입설계서_2511.pdf,,16,특정심혈관질환(기타심장부정맥제외)진단비Ⅲ,100만원,"1,076",20년납 100세만기,,,
HEUNGKUK,흥국_가입설계서_2511.pdf,,17,심근병증(허혈성제외)진단비,100만원,193,20년납 100세만기,,,
HEUNGKUK,흥국_가입설계서_2511.pdf,,18,뇌졸중 혈전용해치료비(1회한),200만원,184,20년납 100세만기,,,
HEUNGKUK,흥국_가입설계서_2511.pdf,,19,특정허혈성심질환 혈전용해치료비(1회한),200만원,42,20년납 100세만기,,,
HEUNGKUK,흥국_가입설계서_2511.pdf,,20,암진단비(유사암제외),"3,000만원","35,730",20년납 100세만기,,,
HEUNGKUK,흥국_가입설계서_2511.pdf,,21,유사암진단비,600만원,"1,020",20년납 100세만기,,,
HEUNGKUK,흥국_가입설계서_2511.pdf,,22,재진단암Ⅲ진단비,"1,000만원","32,790",20년납 100세만기,,,
HEUNGKUK,흥국_가입설계서_2511.pdf,,23,고액치료비암진단비,"1,000만원","1,790",20년납 100세만기,,,
