insurer,proposal_file,proposal_variant,row_id,coverage_name_raw,amount_raw,premium_raw,pay_term_raw,maturity_raw,renewal_raw,notes
HYUNDAI,현대_가입설계서_2511.pdf,,1,기본계약(상해사망),1천만원,448,20년납100세만기,,,
HYUNDAI,현대_가입설계서_2511.pdf,,2,기본계약(상해후유장해),1천만원,550,20년납100세만기,,,
HYUNDAI,현대_가입설계서_2511.pdf,,3,보험료납입면제대상담보,10만원,35,전기납20년만기,,,
HYUNDAI,현대_가입설계서_2511.pdf,,4,골절진단(치아파절제외)담보,10만원,629,20년납100세만기,,,
HYUNDAI,현대_가입설계서_2511.pdf,,5,화상진단담보,10만원,79,20년납100세만기,,,
HYUNDAI,현대_가입설계서_2511.pdf,,6,상해입원일당(1-180일)담보,1만원,"1,319",20년납100세만기,,,
HYUNDAI,현대_가입설계서_2511.pdf,,7,상해수술담보,10만원,600,20년납100세만기,,,
HYUNDAI,현대_가입설계서_2511.pdf,,8,질병사망담보,1천만원,"7,354",20년납80세만기,,,
HYUNDAI,현대_가입설계서_2511.pdf,,9,암진단Ⅱ(유사암제외)담보,3천만원,"35,256",20년납100세만기,,,
HYUNDAI,현대_가입설계서_2511.pdf,,10,유사암진단Ⅱ담보,6백만원,"1,248",20년납100세만기,,,
HYUNDAI,현대_가입설계서_2511.pdf,,11,고액치료비암진단담보,1천만원,"2,078",20년납100세만기,,,
HYUNDAI,현대_가입설계서_2511.pdf,,12,재진단암진단Ⅱ담보,1천만원,"16,001",20년납100세만기,,,
HYUNDAI,현대_가입설계서_2511.pdf,,13,뇌출혈진단담보,1천만원,"1,557",20년납100세만기,,,
HYUNDAI,현대_가입설계서_2511.pdf,,14,뇌졸중진단담보,1천만원,"6,548",20년납100세만기,,,
HYUNDAI,현대_가입설계서_2511.pdf,,15,뇌혈관질환진단담보,1천만원,"9,881",20년납100세만기,,,
HYUNDAI,현대_가입설계서_2511.pdf,,16,허혈심장질환진단담보,1천만원,"7,857",20년납100세만기,,,
HYUNDAI,현대_가입설계서_2511.pdf,,17,"심혈관질환(특정Ⅰ,I49제외)진단담보",1백만원,926,20년납100세만기,,,
HYUNDAI,현대_가입설계서_2511.pdf,,18,심혈관질환(I49)진단담보,1백만원,211,20년납100세만기,,,
HYUNDAI,현대_가입설계서_2511.pdf,,19,심혈관질환(주요심장염증)진단담보,1백만원,52,20년납100세만기,,,
HYUNDAI,현대_가입설계서_2511.pdf,,20,심혈관질환(특정Ⅱ)진단담보,1백만원,299,20년납100세만기,,,
HYUNDAI,현대_가입설계서_2511.pdf,,21,심혈관질환(특정2대)진단담보,1백만원,703,20년납100세만기,,,
HYUNDAI,현대_가입설계서_2511.pdf,,22,심혈관질환(대동맥판막협착증)진단담보,1백만원,158,20년납100세만기,,,
HYUNDAI,현대_가입설계서_2511.pdf,,23,심혈관질환(심근병증)진단담보,1백만원,293,20년납100세만기,,,
HYUNDAI,현대_가입설계서_2511.pdf,,24,항암약물치료Ⅱ담보,3백만원,"1,791",20년납100세만기,,,
HYUNDAI,현대_가입설계서_2511.pdf,,25,항암방사선치료Ⅱ담보,3백만원,"1,083",20년납100세만기,,,
HYUNDAI,현대_가입설계서_2511.pdf,,26,표적항암약물허가치료(갱신형)담보,1천만원,241,전기납10년만기갱신(최대100세),,(갱신형),
HYUNDAI,현대_가입설계서_2511.pdf,,27,카티(CAR-T)항암약물허가치료(연간1회한)(갱신형)담보,1천만원,37,전기납10년만기갱신(최대100세),,(갱신형),
