insurer,proposal_file,proposal_variant,row_id,coverage_name_raw,amount_raw,premium_raw,pay_term_raw,maturity_raw,renewal_raw,notes
KB,KB_가입설계서.pdf,NULL,1,일반상해사망(기본),1천만원,700,20년,100세,NULL,NULL
KB,KB_가입설계서.pdf,NULL,2,일반상해후유장해(20~100%)(기본),1천만원,300,20년,100세,NULL,NULL
KB,KB_가입설계서.pdf,NULL,3,보험료납입면제대상보장(8대기본),10만원,36,20년,20년,NULL,NULL
KB,KB_가입설계서.pdf,NULL,5,일반상해후유장해(3%~100%),1천만원,650,20년,100세,NULL,NULL
KB,KB_가입설계서.pdf,NULL,8,질병사망,1천만원,7460,20년,80세,NULL,NULL
KB,KB_가입설계서.pdf,NULL,70,암진단비(유사암제외),3천만원,36420,20년,100세,NULL,NULL
KB,KB_가입설계서.pdf,NULL,72,10대고액치료비암진단비,1천만원,6640,20년,100세,NULL,NULL
KB,KB_가입설계서.pdf,NULL,74,유사암진단비,6백만원,870,20년,100세,NULL,NULL
KB,KB_가입설계서.pdf,NULL,85,재진단암진단비,1천만원,22510,20년,100세,NULL,NULL
KB,KB_가입설계서.pdf,NULL,91,뇌혈관질환진단비,1천만원,10060,20년,100세,NULL,NULL
KB,KB_가입설계서.pdf,NULL,93,뇌졸중진단비,1천만원,8010,20년,100세,NULL,NULL
KB,KB_가입설계서.pdf,NULL,95,뇌출혈진단비,1천만원,1820,20년,100세,NULL,NULL
KB,KB_가입설계서.pdf,NULL,97,심장질환(특정Ⅰ) 진단비,1백만원,951,20년,100세,NULL,NULL
KB,KB_가입설계서.pdf,NULL,98,심장질환(특정Ⅱ) 진단비,1백만원,356,20년,100세,NULL,NULL
KB,KB_가입설계서.pdf,NULL,101,허혈성심장질환진단비,1천만원,6470,20년,100세,NULL,NULL
KB,KB_가입설계서.pdf,NULL,105,부정맥질환(Ⅰ49)진단비,1백만원,612,20년,100세,NULL,NULL
KB,KB_가입설계서.pdf,NULL,108,심근병증진단비,1백만원,240,20년,100세,NULL,NULL
KB,KB_가입설계서.pdf,NULL,109,심장판막협착증(대동맥판막)진단비,1백만원,150,20년,100세,NULL,NULL
KB,KB_가입설계서.pdf,NULL,152,골절진단비Ⅱ(치아파절제외),10만원,543,20년,100세,NULL,NULL
KB,KB_가입설계서.pdf,NULL,159,화상진단비,10만원,58,20년,100세,NULL,NULL
KB,KB_가입설계서.pdf,NULL,161,질병수술비,10만원,1596,20년,100세,NULL,NULL
KB,KB_가입설계서.pdf,NULL,202,암수술비(유사암제외),5백만원,7360,20년,100세,NULL,NULL
KB,KB_가입설계서.pdf,NULL,205,유사암수술비,30만원,44,20년,100세,NULL,NULL
KB,KB_가입설계서.pdf,NULL,206,다빈치로봇 암수술비(갑상선암 및 전립선암 제외)(최초1회한)(갱신형),1천만원,260,10년갱신,100세,갱신형,NULL
KB,KB_가입설계서.pdf,NULL,207,다빈치로봇 갑상선암 및 전립선암수술비(최초1회한)(갱신형),2백만원,11,10년갱신,100세,갱신형,NULL
KB,KB_가입설계서.pdf,NULL,209,뇌혈관질환수술비,5백만원,885,20년,100세,NULL,NULL
KB,KB_가입설계서.pdf,NULL,213,허혈성심장질환수술비,5백만원,1760,20년,100세,NULL,NULL
KB,KB_가입설계서.pdf,NULL,227,상해수술비,10만원,420,20년,100세,NULL,NULL
KB,KB_가입설계서.pdf,NULL,256,항암방사선치료비,3백만원,1587,20년,100세,NULL,NULL
KB,KB_가입설계서.pdf,NULL,257,항암약물치료비,3백만원,2316,20년,100세,NULL,NULL
KB,KB_가입설계서.pdf,NULL,278,표적항암약물허가치료비(3대특정암)(최초1회한)Ⅱ(갱신형),1천만원,35,10년갱신,100세,갱신형,NULL
KB,KB_가입설계서.pdf,NULL,279,표적항암약물허가치료비(림프종·백혈병 관련암)(최초1회한)Ⅱ(갱신형),1천만원,57,10년갱신,100세,갱신형,NULL
KB,KB_가입설계서.pdf,NULL,280,표적항암약물허가치료비(3대특정암 및 림프종·백혈병 관련암 제외)(최초1회한)Ⅱ(갱신형),1천만원,25,10년갱신,100세,갱신형,NULL
KB,KB_가입설계서.pdf,NULL,283,특정항암호르몬약물허가치료비(최초1회한)Ⅱ(갱신형),50만원,3,10년갱신,100세,갱신형,NULL
KB,KB_가입설계서.pdf,NULL,291,카티(CAR-T)항암약물허가치료비(연간1회한)(갱신형),1천만원,6,10년갱신,100세,갱신형,NULL
KB,KB_가입설계서.pdf,NULL,380,혈전용해치료비Ⅱ(최초1회한)(특정심장질환) 보장,2백만원,76,20년,100세,NULL,NULL
KB,KB_가입설계서.pdf,NULL,381,혈전용해치료비Ⅱ(최초1회한)(뇌졸중) 보장,2백만원,262,20년,100세,NULL,NULL
KB,KB_가입설계서.pdf,NULL,477,질병입원일당(1일이상),1만원,5680,20년,100세,NULL,NULL
KB,KB_가입설계서.pdf,NULL,490,상해입원일당(1일이상)Ⅱ,1만원,1435,20년,100세,NULL,NULL
KB,KB_가입설계서.pdf,NULL,503,암직접치료입원일당(요양제외1일이상180일한도),2만원,1514,20년,100세,NULL,NULL
