insurer,proposal_file,proposal_variant,row_id,coverage_name_raw,amount_raw,premium_raw,pay_term_raw,maturity_raw,renewal_raw,notes
LOTTE,롯데_가입설계서(남)_2511.pdf,남,1,상해후유장해(3~100%),"3,000만원","1,410",20년/100세,,,
LOTTE,롯데_가입설계서(남)_2511.pdf,남,2,상해사망,"1,000만원",810,20년/100세,,,
LOTTE,롯데_가입설계서(남)_2511.pdf,남,3,질병사망,"1,000만원","16,190",20년/80세,,,
LOTTE,롯데_가입설계서(남)_2511.pdf,남,4,일반암진단비Ⅱ,"3,000만원","82,290",20년/100세,,,
LOTTE,롯데_가입설계서(남)_2511.pdf,남,5,갑상선암·기타피부암·유사암진단비,600만원,"1,590",20년/100세,,,
LOTTE,롯데_가입설계서(남)_2511.pdf,남,6,재진단암진단비,"1,000만원","39,420",20년/100세,,,
LOTTE,롯데_가입설계서(남)_2511.pdf,남,7,고액치료비암진단비,"1,000만원","3,760",20년/100세,,,
LOTTE,롯데_가입설계서(남)_2511.pdf,남,8,일반암수술비(1회한),500만원,"12,000",20년/100세,,,
LOTTE,롯데_가입설계서(남)_2511.pdf,남,9,갑상선암·기타피부암·유사암수술비(매회),30만원,72,20년/100세,,,
LOTTE,롯데_가입설계서(남)_2511.pdf,남,10,항암방사선치료비,300만원,"1,380",20년/100세,,,
LOTTE,롯데_가입설계서(남)_2511.pdf,남,11,항암약물치료비,300만원,"2,082",20년/100세,,,
LOTTE,롯데_가입설계서(남)_2511.pdf,남,12,다빈치로봇암수술비(갑상선암및전립선암제외)(최초1회 한)(갱신형),"1,000만원","1,220",10년/10년 갱신,,갱신,
LOTTE,롯데_가입설계서(남)_2511.pdf,남,13,다빈치로봇갑상선암및전립선암수술비(최초1회한)(갱신 형),200만원,323,10년/10년 갱신,,갱신,
LOTTE,롯데_가입설계서(남)_2511.pdf,남,14,표적항암약물허가치료비(유방암및비뇨생식기암)(1회 한)(갱신형),"1,000만원",338,10년/10년 갱신,,갱신,
LOTTE,롯데_가입설계서(남)_2511.pdf,남,15,표적항암약물허가치료비(3대주요기관암)(1회한)(갱신 형),"1,000만원","1,680",10년/10년 갱신,,갱신,
LOTTE,롯데_가입설계서(남)_2511.pdf,남,16,표적항암약물허가치료비(림프종및백혈병관련암)(1회 한)(갱신형),"1,000만원",260,10년/10년 갱신,,갱신,
LOTTE,롯데_가입설계서(남)_2511.pdf,남,17,"표적항암약물허가치료비(13대특정암,갑상선암및기타피 부암)(1회한)(갱신형)","1,000만원",125,10년/10년 갱신,,갱신,
LOTTE,롯데_가입설계서(남)_2511.pdf,남,18,카티(CAR-T)항암약물허가치료비(1회한)(갱신형),"1,000만원",36,10년/10년 갱신,,갱신,
LOTTE,롯데_가입설계서(남)_2511.pdf,남,19,암직접입원비(요양병원제외)(1일-120일),2만원,"2,872",20년/100세,,,
LOTTE,롯데_가입설계서(남)_2511.pdf,남,20,뇌혈관질환진단비,"1,000만원","24,950",20년/100세,,,
LOTTE,롯데_가입설계서(남)_2511.pdf,남,21,뇌졸중진단비,"1,000만원","19,320",20년/100세,,,
LOTTE,롯데_가입설계서(남)_2511.pdf,남,22,뇌출혈진단비,"1,000만원","3,500",20년/100세,,,
LOTTE,롯데_가입설계서(남)_2511.pdf,남,23,뇌경색증(I63) 혈전용해치료비,200만원,304,20년/100세,,,
LOTTE,롯데_가입설계서(남)_2511.pdf,남,24,허혈성심장질환진단비,"1,000만원","14,420",20년/100세,,,
LOTTE,롯데_가입설계서(남)_2511.pdf,남,25,급성심근경색증(I21) 혈전용해치료비,200만원,52,20년/100세,,,
LOTTE,롯데_가입설계서(남)_2511.pdf,남,26,뇌혈관질환수술비,500만원,"2,200",20년/100세,,,
LOTTE,롯데_가입설계서(남)_2511.pdf,남,27,허혈심장질환수술비,500만원,"2,850",20년/100세,,,
LOTTE,롯데_가입설계서(남)_2511.pdf,남,28,상해입원수술비(당일입원제외),10만원,362,20년/100세,,,
LOTTE,롯데_가입설계서(남)_2511.pdf,남,29,상해통원수술비(당일입원포함),10만원,337,20년/100세,,,
LOTTE,롯데_가입설계서(남)_2511.pdf,남,30,질병입원수술비(당일입원제외),10만원,"1,448",20년/100세,,,
LOTTE,롯데_가입설계서(남)_2511.pdf,남,31,질병통원수술비(당일입원포함),,20년/100세,10만원,,,
LOTTE,롯데_가입설계서(남)_2511.pdf,남,32,상해입원비(1일-180일),,20년/100세,1만원,,,
LOTTE,롯데_가입설계서(남)_2511.pdf,남,33,질병입원비(1일-180일),,20년/100세,1만원,,,
LOTTE,롯데_가입설계서(남)_2511.pdf,남,34,골절진단비(치아파절제외),,20년/100세,10만원,,,
LOTTE,롯데_가입설계서(남)_2511.pdf,남,35,화상진단비,,20년/100세,10만원,,,
LOTTE,롯데_가입설계서(여)_2511.pdf,여,1,상해후유장해(3~100%),"3,000만원","1,800",20년/100세,,,
LOTTE,롯데_가입설계서(여)_2511.pdf,여,2,상해사망,"1,000만원",290,20년/100세,,,
LOTTE,롯데_가입설계서(여)_2511.pdf,여,3,질병사망,"1,000만원","4,800",20년/80세,,,
LOTTE,롯데_가입설계서(여)_2511.pdf,여,4,일반암진단비Ⅱ,"3,000만원","38,760",20년/100세,,,
LOTTE,롯데_가입설계서(여)_2511.pdf,여,5,갑상선암·기타피부암·유사암진단비,600만원,"2,730",20년/100세,,,
LOTTE,롯데_가입설계서(여)_2511.pdf,여,6,재진단암진단비,"1,000만원","17,720",20년/100세,,,
LOTTE,롯데_가입설계서(여)_2511.pdf,여,7,고액치료비암진단비,"1,000만원","1,880",20년/100세,,,
LOTTE,롯데_가입설계서(여)_2511.pdf,여,8,일반암수술비(1회한),500만원,"5,700",20년/100세,,,
LOTTE,롯데_가입설계서(여)_2511.pdf,여,9,갑상선암·기타피부암·유사암수술비(매회),30만원,126,20년/100세,,,
LOTTE,롯데_가입설계서(여)_2511.pdf,여,10,항암방사선치료비,300만원,999,20년/100세,,,
LOTTE,롯데_가입설계서(여)_2511.pdf,여,11,항암약물치료비,300만원,"1,362",20년/100세,,,
LOTTE,롯데_가입설계서(여)_2511.pdf,여,12,다빈치로봇암수술비(갑상선암및전립선암제외)(최초1회 한)(갱신형),"1,000만원","1,140",10년/10년 갱신,,갱신,
LOTTE,롯데_가입설계서(여)_2511.pdf,여,13,다빈치로봇갑상선암및전립선암수술비(최초1회한)(갱신 형),200만원,108,10년/10년 갱신,,갱신,
LOTTE,롯데_가입설계서(여)_2511.pdf,여,14,표적항암약물허가치료비(유방암및비뇨생식기암)(1회 한)(갱신형),"1,000만원",806,10년/10년 갱신,,갱신,
LOTTE,롯데_가입설계서(여)_2511.pdf,여,15,표적항암약물허가치료비(3대주요기관암)(1회한)(갱신 형),"1,000만원",685,10년/10년 갱신,,갱신,
LOTTE,롯데_가입설계서(여)_2511.pdf,여,16,표적항암약물허가치료비(림프종및백혈병관련암)(1회 한)(갱신형),"1,000만원",200,10년/10년 갱신,,갱신,
LOTTE,롯데_가입설계서(여)_2511.pdf,여,17,"표적항암약물허가치료비(13대특정암,갑상선암및기타피 부암)(1회한)(갱신형)","1,000만원",70,10년/10년 갱신,,갱신,
LOTTE,롯데_가입설계서(여)_2511.pdf,여,18,카티(CAR-T)항암약물허가치료비(1회한)(갱신형),"1,000만원",18,10년/10년 갱신,,갱신,
LOTTE,롯데_가입설계서(여)_2511.pdf,여,19,암직접입원비(요양병원제외)(1일-120일),2만원,"1,286",20년/100세,,,
LOTTE,롯데_가입설계서(여)_2511.pdf,여,20,뇌혈관질환진단비,"1,000만원","14,600",20년/100세,,,
LOTTE,롯데_가입설계서(여)_2511.pdf,여,21,뇌졸중진단비,"1,000만원","7,920",20년/100세,,,
LOTTE,롯데_가입설계서(여)_2511.pdf,여,22,뇌출혈진단비,"1,000만원","2,530",20년/100세,,,
LOTTE,롯데_가입설계서(여)_2511.pdf,여,23,뇌경색증(I63) 혈전용해치료비,200만원,114,20년/100세,,,
LOTTE,롯데_가입설계서(여)_2511.pdf,여,24,허혈성심장질환진단비,"1,000만원","4,680",20년/100세,,,
LOTTE,롯데_가입설계서(여)_2511.pdf,여,25,급성심근경색증(I21) 혈전용해치료비,200만원,12,20년/100세,,,
LOTTE,롯데_가입설계서(여)_2511.pdf,여,26,뇌혈관질환수술비,500만원,"1,150",20년/100세,,,
LOTTE,롯데_가입설계서(여)_2511.pdf,여,27,허혈심장질환수술비,500만원,"1,050",20년/100세,,,
LOTTE,롯데_가입설계서(여)_2511.pdf,여,28,상해입원수술비(당일입원제외),10만원,281,20년/100세,,,
LOTTE,롯데_가입설계서(여)_2511.pdf,여,29,상해통원수술비(당일입원포함),10만원,203,20년/100세,,,
LOTTE,롯데_가입설계서(여)_2511.pdf,여,30,질병입원수술비(당일입원제외),10만원,"1,262",20년/100세,,,
LOTTE,롯데_가입설계서(여)_2511.pdf,여,31,질병통원수술비(당일입원포함),,20년/100세,10만원,,,
LOTTE,롯데_가입설계서(여)_2511.pdf,여,32,상해입원비(1일-180일),,20년/100세,1만원,,,
LOTTE,롯데_가입설계서(여)_2511.pdf,여,33,질병입원비(1일-180일),,20년/100세,1만원,,,
LOTTE,롯데_가입설계서(여)_2511.pdf,여,34,골절진단비(치아파절제외),,20년/100세,10만원,,,
LOTTE,롯데_가입설계서(여)_2511.pdf,여,35,화상진단비,,20년/100세,10만원,,,
