insurer,proposal_file,proposal_variant,row_id,coverage_name_raw,amount_raw,premium_raw,pay_term_raw,maturity_raw,renewal_raw,notes
MERITZ,메리츠_가입설계서_2511.pdf,,1,일반상해80%이상후유장해[기본계약],1백만원,8,20년 / 100세,,,
MERITZ,메리츠_가입설계서_2511.pdf,,2,일반상해사망,1백만원,60,20년 / 100세,,,
MERITZ,메리츠_가입설계서_2511.pdf,,3,질병사망,1천만원,"6,880",20년 / 80세,,,
MERITZ,메리츠_가입설계서_2511.pdf,,4,일반상해후유장해(3~100%),1천만원,550,20년 / 100세,,,
MERITZ,메리츠_가입설계서_2511.pdf,,5,암진단비(유사암제외),3천만원,"30,480",20년 / 100세,,,
MERITZ,메리츠_가입설계서_2511.pdf,,6,유사암진단비,6백만원,852,20년 / 100세,,,
MERITZ,메리츠_가입설계서_2511.pdf,,7,5대고액치료비암진단비,1천만원,"2,290",20년 / 100세,,,
MERITZ,메리츠_가입설계서_2511.pdf,,8,재진단암진단비(1년 대기형),1천만원,"37,860",20년 / 100세,,,
MERITZ,메리츠_가입설계서_2511.pdf,,9,뇌혈관질환진단비,1천만원,"8,540",20년 / 100세,,,
MERITZ,메리츠_가입설계서_2511.pdf,,10,뇌졸중진단비,1천만원,"6,040",20년 / 100세,,,
MERITZ,메리츠_가입설계서_2511.pdf,,11,뇌출혈진단비,1천만원,"1,910",20년 / 100세,,,
MERITZ,메리츠_가입설계서_2511.pdf,,12,허혈성심장질환진단비,1천만원,"5,430",20년 / 100세,,,
MERITZ,메리츠_가입설계서_2511.pdf,,13,(20년갱신)갱신형 중증질환자(뇌혈관질환) 산정특례대상 진단비(연간1회 한),1백만원,105,20년 / 20년 갱신종료 : 100세,,갱신,
MERITZ,메리츠_가입설계서_2511.pdf,,14,(20년갱신)갱신형 중증질환자(심장질환) 산정특례대상 진단비(연간1회한),1백만원,188,20년 / 20년 갱신종료 : 100세,,갱신,
MERITZ,메리츠_가입설계서_2511.pdf,,15,"암직접치료입원일당(Ⅱ)(요양병원제외, 1일이상)",2만원,"1,790",20년 / 100세,,,
MERITZ,메리츠_가입설계서_2511.pdf,,16,일반상해입원일당(1일이상),1만원,996,20년 / 100세,,,
MERITZ,메리츠_가입설계서_2511.pdf,,17,질병입원일당(1일이상),1만원,"4,690",20년 / 100세,,,
MERITZ,메리츠_가입설계서_2511.pdf,,18,일반상해중환자실입원일당(1일이상),10만원,880,20년 / 100세,,,
MERITZ,메리츠_가입설계서_2511.pdf,,19,암수술비(유사암제외),5백만원,"5,245",20년 / 100세,,,
MERITZ,메리츠_가입설계서_2511.pdf,,20,유사암수술비,1백만원,142,20년 / 100세,,,
MERITZ,메리츠_가입설계서_2511.pdf,,21,뇌혈관질환수술비,5백만원,"1,120",20년 / 100세,,,
MERITZ,메리츠_가입설계서_2511.pdf,,22,허혈성심장질환수술비,5백만원,"1,520",20년 / 100세,,,
MERITZ,메리츠_가입설계서_2511.pdf,,23,상해수술비,10만원,522,20년 / 100세,,,
MERITZ,메리츠_가입설계서_2511.pdf,,24,질병수술비,10만원,"1,719",20년 / 100세,,,
MERITZ,메리츠_가입설계서_2511.pdf,,25,(10년갱신)갱신형 다빈치로봇 암수술비(암(특정암제외)),1천만원,200,10년 / 10년 갱신종료 : 100세,,갱신,
MERITZ,메리츠_가입설계서_2511.pdf,,26,(10년갱신)갱신형 다빈치로봇 암수술비(특정암),1천만원,230,10년 / 10년 갱신종료 : 100세,,갱신,
MERITZ,메리츠_가입설계서_2511.pdf,,27,골절(치아파절제외)진단비Ⅱ,10만원,666,20년 / 100세,,,
MERITZ,메리츠_가입설계서_2511.pdf,,28,신화상치료비(화상수술비),20만원,20,20년 / 100세,,,
MERITZ,메리츠_가입설계서_2511.pdf,,29,신화상치료비(화상진단비),10만원,78,20년 / 100세,,,
MERITZ,메리츠_가입설계서_2511.pdf,,30,신화상치료비(중증화상및부식진단비),3천만원,120,20년 / 100세,,,
MERITZ,메리츠_가입설계서_2511.pdf,,31,항암방사선약물치료비,3백만원,"1,824",20년 / 100세,,,
MERITZ,메리츠_가입설계서_2511.pdf,,32,혈전용해치료비Ⅱ(뇌졸중),2백만원,240,20년 / 100세,,,
MERITZ,메리츠_가입설계서_2511.pdf,,33,혈전용해치료비Ⅱ(특정심장질환),2백만원,98,20년 / 100세,,,
MERITZ,메리츠_가입설계서_2511.pdf,,34,(10년갱신)갱신형 표적항암약물허가치료비Ⅱ,1천만원,330,10년 / 10년 갱신종료 : 100세,,갱신,
